@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2022/03/16 22:40:31:998',1,2.397891,2.397891,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,'2022/03/16 22:40:32:042',1,2.397891,2.397891,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,'2022/03/16 22:40:32:045',1,2.295807,2.295807,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,'2022/03/16 22:40:32:047',1,2.480946,2.480946,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,'2022/03/16 22:40:32:048',1,2.413977,2.413977,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,'2022/03/16 22:40:32:055',1,2.611391,2.611391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,'2022/03/16 22:40:32:055',1,2.611391,2.611391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,'2022/03/16 22:40:32:056',1,2.611391,2.611391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,'2022/03/16 22:40:32:073',1,2.317795,2.317795,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,'2022/03/16 22:40:32:083',1,2.341967,2.341967,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,'2022/03/16 22:40:32:093',1,2.666284,2.666284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,'2022/03/16 22:40:32:104',1,2.600646,2.600646,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,'2022/03/16 22:40:32:114',1,2.234854,2.234854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,'2022/03/16 22:40:32:126',1,2.566118,2.566118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,'2022/03/16 22:40:32:127',1,2.566118,2.566118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,'2022/03/16 22:40:32:139',1,2.506688,2.506688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,'2022/03/16 22:40:32:147',1,2.325356,2.325356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,'2022/03/16 22:40:32:157',1,2.000395,2.000395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,'2022/03/16 22:40:32:171',1,2.281972,2.281972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,'2022/03/16 22:40:32:186',1,2.238514,2.238514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,'2022/03/16 22:40:32:186',1,2.238514,2.238514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,'2022/03/16 22:40:32:199',1,2.065481,2.065481,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,'2022/03/16 22:40:32:211',1,2.398574,2.398574,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,'2022/03/16 22:40:32:227',1,2.721662,2.721662,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,'2022/03/16 22:40:32:227',1,2.721662,2.721662,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,'2022/03/16 22:40:32:246',1,2.296707,2.296707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,'2022/03/16 22:40:32:247',1,2.296707,2.296707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,'2022/03/16 22:40:32:256',1,2.636569,2.636569,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,'2022/03/16 22:40:32:274',1,2.751801,2.751801,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,'2022/03/16 22:40:32:285',1,2.563284,2.563284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,'2022/03/16 22:40:32:296',1,2.553025,2.553025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,'2022/03/16 22:40:32:297',1,2.553025,2.553025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,'2022/03/16 22:40:32:317',1,2.77124,2.77124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,'2022/03/16 22:40:32:318',1,2.77124,2.77124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,'2022/03/16 22:40:32:329',1,2.757573,2.757573,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,'2022/03/16 22:40:32:349',1,2.573428,2.573428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,'2022/03/16 22:40:32:350',1,2.573428,2.573428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,'2022/03/16 22:40:32:379',1,2.573428,2.573428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,'2022/03/16 22:40:32:380',1,2.573428,2.573428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,'2022/03/16 22:40:32:381',1,2.573428,2.573428,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,'2022/03/16 22:40:32:413',1,2.17723,2.17723,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,'2022/03/16 22:40:32:413',1,2.17723,2.17723,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,'2022/03/16 22:40:32:414',1,2.17723,2.17723,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,'2022/03/16 22:40:32:425',1,2.633704,2.633704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,'2022/03/16 22:40:32:425',1,2.633704,2.633704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,'2022/03/16 22:40:32:435',1,2.658111,2.658111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,'2022/03/16 22:40:32:446',1,2.431242,2.431242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,'2022/03/16 22:40:32:466',1,2.604496,2.604496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,'2022/03/16 22:40:32:467',1,2.604496,2.604496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,'2022/03/16 22:40:32:479',1,2.637441,2.637441,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,'2022/03/16 22:40:32:493',1,2.734871,2.734871,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,'2022/03/16 22:40:32:498',1,2.559727,2.559727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,'2022/03/16 22:40:32:530',1,2.779603,2.779603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,'2022/03/16 22:40:32:531',1,2.779603,2.779603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,'2022/03/16 22:40:32:531',1,2.779603,2.779603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,'2022/03/16 22:40:32:572',1,2.676652,2.676652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,'2022/03/16 22:40:32:573',1,2.676652,2.676652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,'2022/03/16 22:40:32:573',1,2.676652,2.676652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,'2022/03/16 22:40:32:574',1,2.676652,2.676652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,'2022/03/16 22:40:32:584',1,2.430897,2.430897,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,'2022/03/16 22:40:32:595',1,2.619341,2.619341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,'2022/03/16 22:40:32:596',1,2.619341,2.619341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,'2022/03/16 22:40:32:615',1,2.582121,2.582121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,'2022/03/16 22:40:32:616',1,2.582121,2.582121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,'2022/03/16 22:40:32:627',1,2.533731,2.533731,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,'2022/03/16 22:40:32:638',1,2.74413,2.74413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,'2022/03/16 22:40:32:648',1,2.529846,2.529846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,'2022/03/16 22:40:32:658',1,2.612024,2.612024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,'2022/03/16 22:40:32:679',1,2.605286,2.605286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,'2022/03/16 22:40:32:680',1,2.605286,2.605286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,'2022/03/16 22:40:32:712',1,2.621177,2.621177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,'2022/03/16 22:40:32:713',1,2.621177,2.621177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,'2022/03/16 22:40:32:713',1,2.621177,2.621177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,'2022/03/16 22:40:32:732',1,2.620996,2.620996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,'2022/03/16 22:40:32:733',1,2.620996,2.620996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,'2022/03/16 22:40:32:761',1,2.535433,2.535433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
